trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,13,-9.9592224621995,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,9,-36.06632714418745,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,3,-34.89577546960602,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,1,-51.12427929713031,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-36.466315904112065,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,12,-19.708066397856886,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,9,3.683500199973562,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,7,20.00016721028878,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-50.3414868819916,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,8,-4.738659220711951,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,14,5.2886451821985565,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,8,21.659862232934344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,0,-82.34871802540775,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,14,-3.4428280262065507,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-19.788493738232937,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,7,-59.94990239268995,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,6,-14.458428245271966,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,13,-13.215231825448551,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,11,3.523552978811633,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,6,4.531305813781491,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",30,7,-68.93438240361611,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-37.588012390536036,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,9,-83.83389655519119,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,3,-119.20733346171087,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,13,-33.18252126044917,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,12,-8.613479884199108,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,14,-2.137992208937515,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-63.24741721157994,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-77.22293782578828,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,6,-1.5617370373899615,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,11,16.86338257680683,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",30,1,-3.544630342527152,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",30,12,-3.17560115551397,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,16,5.678416344253465,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,11,25.03434764785963,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",35,17,23.31323524467231,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,6,-82.33997104669639,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,5,3.0051192783337672,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,15,8.642478216970012,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,14,11.944189325773413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",35,11,15.488011733094007,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,11,-27.579312369571582,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",30,15,6.761270641866862,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,0,-8.495487874460286,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,8,9.192232005431745,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,1,11.361135075159462,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,0,1.086485609926602,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",30,10,16.79989963303304,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,9,-6.778647923822183,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,8,-21.640699948579062,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,15,-34.7584951546587,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,0,-15.185665842163138,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,11,-31.075126838103095,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,19,3.2903263090040697,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
